"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"EXTLON","14","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced to renew or extend first mortgage","HOUSEHOLD","Character","NA","","X: Refinanced to renew or extend the loan||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"EXTLON","14","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced to renew or extend first mortgage","HOUSEHOLD","Character","NA","","X: Refinanced to renew or extend the loan||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"EXTLON","14","Mortgage Details","9","Refinance","4","2004 Metro","PUF","Refinanced to renew or extend first mortgage","HOUSEHOLD","Character","NA","","X: Refinanced to renew or extend the loan||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"GTCAS2","15","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage to receive cash","HOUSEHOLD","Character","JTCAS2","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"GTCAS2","15","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced second mortgage to receive cash","HOUSEHOLD","Character","NA","","X: Refinanced loan to receive cash||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"GTCAS2","15","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced second mortgage to receive cash","HOUSEHOLD","Character","NA","","X: Refinanced loan to receive cash||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"GTCAS3","16","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage to receive cash","HOUSEHOLD","Character","JTCAS3","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"GTCASH","17","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage to receive cash","HOUSEHOLD","Character","JTCASH","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"GTCASH","17","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced first mortgage to receive cash","HOUSEHOLD","Character","NA","","X: Refinanced loan to receive cash||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"GTCASH","17","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage to receive cash","HOUSEHOLD","Character","NA","","X: Refinanced loan to receive cash||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"INCPER","18","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage to increase payment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INCPER","18","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced first mortgage to increase payment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to increase payment period||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"INCPER","18","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage to increase payment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to increase payment period||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"INCPR2","19","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage to increase payment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INCPR2","19","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced second mortgage to increase payment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to increase payment period||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"INCPR3","20","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage to increase payment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LNFNBR","21","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Chose financial institution to refinance first mortgage because of a solicitation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"LNFNBR2","22","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Chose financial institution to refinance second mortgage because of a solicitation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"LNFNBR3","23","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Chose financial institution to refinance third mortgage because of a solicitation","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"LOWIN2","24","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LOWIN2","24","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced second mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","X: Refinanced loan to get lower interest rate||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"LOWIN2","24","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced second mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","X: Refinanced loan to get lower interest rate||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"LOWIN3","25","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LOWINT","26","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LOWINT","26","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced first mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","X: Refinanced loan to get lower interest rate||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"LOWINT","26","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage to get lower interest rate","HOUSEHOLD","Character","NA","","X: Refinanced loan to get lower interest rate||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"OTHREF","27","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage for other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"OTHREF","27","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced first mortgage for other reason","HOUSEHOLD","Character","NA","","X: Refinanced loan for some other reason||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"OTHREF","27","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage for other reason","HOUSEHOLD","Character","NA","","X: Refinanced loan for some other reason||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"OTREF2","28","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage for other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"OTREF2","28","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced second mortgage for other reason","HOUSEHOLD","Character","NA","","X: Refinanced loan for some other reason||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"OTREF2","28","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced second mortgage for other reason","HOUSEHOLD","Character","NA","","X: Refinanced loan for some other reason||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"OTREF3","29","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage for other reason","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDMO2","30","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDMO2","30","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro","PUF","Refinanced second mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce the monthly payment||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REDMO2","30","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced second mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"REDMO3","31","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDMON","32","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDMON","32","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro","PUF","Refinanced first mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce the monthly payment||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REDMON","32","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"REDMON","32","Mortgage Details","9","Refinance","4","2005 National","PUF","Refinanced first mortgage to reduce monthly payment","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce the monthly payment / Not applicable||D: Don't know||R: Refused||Blank: Not applicable / Not reported||B: Not applicable","","","","","",
"REDPA2","33","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced second mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDPA2","33","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced second mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REDPA2","33","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced second mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"REDPA3","34","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced third mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDPAY","35","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Refinanced first mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"REDPAY","35","Mortgage Details","9","Refinance","4","2009 National, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Refinanced first mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REDPAY","35","Mortgage Details","9","Refinance","4","2009 Metro","PUF","Refinanced first mortgage to reduce the repayment period","HOUSEHOLD","Character","NA","","X: Refinanced loan to reduce repayment period||D: Don't know||Blank: Not reported||B: Not applicable","","","","","",
"REFI2","36","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Second mortgage is a refinance of a previous mortgage","HOUSEHOLD","Character","JREFI2","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"REFI3","37","Mortgage Details","9","Refinance","4","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage is a refinance of a previous mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"ADJPM","1","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because the adjustable interest rate changed","MORTGAGE","Character","JADJPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"ADJPM","1","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Mortgage payment changed because interest rate changed on first mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"FXDPM","2","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because mortgage no longer allows you to decide how much to pay","MORTGAGE","Character","JFXDPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"FXDPM","2","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed because the lender no longer allows you to decide how much to pay","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INTPM","3","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because mortgage changed from interest only to interest plus payment in order to reduce mortgage balance","MORTGAGE","Character","JINTPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"INTPM","3","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed from interest only to interest plus payment to reduce balance","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LENMOD","4","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because lender modified mortgage to prevent foreclosure","MORTGAGE","Character","JLENMOD","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"LENMOD","4","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed because the lender modified it to prevent foreclosure","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"MINPM","5","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because the minimum payment choice increased","MORTGAGE","Character","JMINPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"MINPM","5","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed because the minimum payment choices increased","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"OTRPM","6","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because of something else","MORTGAGE","Character","JOTRPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","",
"OTRPM","6","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed because of something else","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCHAM","7","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Amount of mortgage payment change","MORTGAGE","Numeric","JPTCHAM","Coming soon","-9998: -$9,998 or less||-9999 : 9997: -$9,999 to $9,997||9998: $9,998 or more||M or -9: Not reported||N or -6: Not applicable","See User Notes","See User Notes","Withheld","PTCHYR = '1'","First respondents are asked PMTCHYR (Your mortgage payment can change if the amounts you owe for property taxes or homeowners' insurance change. Over the last 12 months, has the payment amount of your mortgage or loan changed for any other reason?), if yes, then asked PMTINC (Over the last 12 months, did the total mortgage or loan payment increase or decrease?) followed by PMTCHAMT (Compared to 12 months ago, how much more / less is your mortgage or loan?). PTCHAM is the amount listed in PMTCHAMT, but it is recorded as a negative number if the respondent indicated in PMTINC that the loan payment decreased.",
"PTCHAM","7","Mortgage Details","9","Payment Change","5","2013 National, 2011 National","PUF","Payment change amount for first mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PTCHAM","7","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Payment change amount for first mortgage","HOUSEHOLD","Numeric","NA","","1 : 9997: $1 to $9,997||9998: $9,998 or more||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"PTCHYR","8","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed in the past year","MORTGAGE","Character","JPTCHYR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Your mortgage payment can change if the amounts you owe for property taxes or homeowners' insurance change. Has the payment amount of your mortgage or loan changed for any other reason?","PMTCHYR","Withheld","LOANTYPE in ('1' '2')","",
"PTCHYR","8","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Payment amount changed in last year for the first mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||Blank: Not reported||B: Not applicable","","","","","",
"RATEPM","9","Mortgage Details","9","Payment Change","5","2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating mortgage payment changed because mortgage changed from fixed rate to adjustable rate or vice versa","MORTGAGE","Character","JRATEPM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Did your mortgage or loan payments change for any of the following other reasons? (Mark all that apply)","WHYPMTCH","Withheld","PTCHYR = '1'","Starting in 2015, these answer categories for WHYPMTCH were randomized in the Instrument.",
"RATEPM","9","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed from fixed rate to adjustable rate or vice versa","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"ADJPM2","10","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Mortgage payment changed because interest rate changed on second mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"ADJPM3","11","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Mortgage payment changed because interest rate changed on third mortgage","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"FRSTRM","12","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Number of years first mortgage has fixed principal and interest","HOUSEHOLD","Numeric","NA","","0: Mortgage less than a year old||1 : 40: 1 to 40 years||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"FRSTRM2","13","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Number of years second mortgage has fixed principal and interest","HOUSEHOLD","Numeric","NA","","0: Mortgage less than a year old||1 : 40: 1 to 40 years||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"FRSTRM3","14","Mortgage Details","9","Payment Change","5","2013 National, 2011 National, 2011 Metro","PUF","Number of years third mortgage has fixed principal and interest","HOUSEHOLD","Numeric","NA","","0: Mortgage less than a year old||1 : 40: 1 to 40 years||D: Don't know||R: Refused||. : Not reported||B: Not applicable","","","","","",
"FXDPM2","15","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed because the lender no longer allows you to decide how much to pay","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"FXDPM3","16","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed because the lender no longer allows you to decide how much to pay","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INSPM","17","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","First mortgage payment changed because property taxes or homeowners insurance changed","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INSPM2","18","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed because property taxes or homeowners insurance changed","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INSPM3","19","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed because property taxes or homeowners insurance changed","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INTPM2","20","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed from interest only to interest plus payment to reduce balance","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"INTPM3","21","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed from interest only to interest plus payment to reduce balance","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LENMOD2","22","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed because the lender modified it to prevent foreclosure","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"LENMOD3","23","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed because the lender modified it to prevent foreclosure","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"MINPM2","24","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed because the minimum payment choices increased","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"MINPM3","25","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed because the minimum payment choices increased","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"OTRPM2","26","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Second mortgage payment changed because of something else","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"OTRPM3","27","Mortgage Details","9","Payment Change","5","2013 National, 2013 Metro, 2011 National, 2011 Metro","PUF","Third mortgage payment changed because of something else","HOUSEHOLD","Character","NA","","1: Yes||2: No||D: Don't know||R: Refused||B: Not applicable","","","","","",
"PMTINC","28","Mortgage Details","9","Payment Change","5","2013 National","PUF","Payment amount increased or decreased for first mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||D: Don't know||B: Not applicable","","","","","",
"PMTINC","28","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Payment amount increased or decreased for first mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||Blank: Not reported||B: Not applicable","","","","","",
"PMTINC","28","Mortgage Details","9","Payment Change","5","2011 National","PUF","Payment amount increased or decreased for first mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||B: Not applicable","","","","","",
"PMTINC2","29","Mortgage Details","9","Payment Change","5","2013 National","PUF","Payment amount increased or decreased for second mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||D: Don't know||B: Not applicable","","","","","",
"PMTINC2","29","Mortgage Details","9","Payment Change","5","2013 Metro, 2011 Metro","PUF","Payment amount increased or decreased for second mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||Blank: Not reported||B: Not applicable","","","","","",
"PMTINC2","29","Mortgage Details","9","Payment Change","5","2011 National","PUF","Payment amount increased or decreased for second mortgage","HOUSEHOLD","Character","NA","","1: Increased||2: Decreased||B: Not applicable","","","","","",
